               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08541,            0.048253,            0.056363,             0.84633,             0.13723,             0.13494,             0.05337,            0.066698,            0.066548,            0.036446,            0.070149,           0.0033167,           0.0033167
                   1,            0.065883,             0.03893,            0.036233,             0.71638,             0.19017,             0.16364,            0.073302,            0.061611,            0.062062,            0.028271,            0.040116,           0.0066172,           0.0066172
                   2,            0.061327,            0.036512,            0.030436,             0.68714,             0.26602,             0.23185,             0.11323,            0.056774,            0.060447,            0.024359,             0.01005,           0.0098846,           0.0098846
                   3,            0.053759,            0.035658,            0.027209,             0.88604,             0.26556,             0.33642,             0.18741,            0.045526,            0.058457,            0.021972,           0.0098515,           0.0098515,           0.0098515
                   4,            0.047733,            0.034448,            0.024168,             0.78911,             0.34063,             0.39145,             0.23968,            0.038313,            0.057583,            0.020963,           0.0098515,           0.0098515,           0.0098515
                   5,            0.044248,            0.033517,            0.021417,             0.86512,             0.38096,             0.43413,             0.26844,            0.038235,            0.056325,            0.018922,            0.009802,            0.009802,            0.009802
                   6,            0.042202,            0.032873,            0.019619,               0.862,             0.38246,             0.45124,             0.28889,            0.036364,            0.056265,            0.018297,           0.0097525,           0.0097525,           0.0097525
                   7,            0.040728,            0.031989,            0.018509,             0.88304,              0.4008,             0.47614,             0.31742,            0.035886,             0.05671,            0.017073,            0.009703,            0.009703,            0.009703
                   8,            0.039164,            0.031927,            0.017247,             0.80367,             0.46481,             0.50331,             0.32903,            0.034313,            0.055399,            0.016833,           0.0096535,           0.0096535,           0.0096535
                   9,            0.039097,            0.031749,            0.016514,             0.82243,             0.44617,             0.50348,             0.33436,            0.033774,            0.054829,            0.016809,            0.009604,            0.009604,            0.009604
